initial_alias;converted_alias;name;description;namespace
SERPINB4;ENSG00000206073;SERPINB4;serpin family B member 4;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
SPRR2B;ENSG00000196805;SPRR2B;small proline rich protein 2B;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
LCE3D;ENSG00000163202;LCE3D;late cornified envelope 3D;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
S100A9;ENSG00000163220;S100A9;S100 calcium binding protein A9;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
LCE3E;ENSG00000185966;LCE3E;late cornified envelope 3E;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
C10ORF99;ENSG00000188373;C10orf99;chromosome 10 open reading frame 99;ENTREZGENE,HGNC,WIKIGENE
HEPHL1;ENSG00000181333;HEPHL1;hephaestin like 1;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
MMP12;ENSG00000262406;MMP12;matrix metallopeptidase 12;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
S100A8;ENSG00000143546;S100A8;S100 calcium binding protein A8;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
CCL18;ENSG00000275385;CCL18;C-C motif chemokine ligand 18;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
CXCL10;ENSG00000169245;CXCL10;C-X-C motif chemokine ligand 10;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
SERPINB3;ENSG00000057149;SERPINB3;serpin family B member 3;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
LTF;ENSG00000012223;LTF;lactotransferrin;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
BTC;ENSG00000174808;BTC;betacellulin;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE
UGT3A2;ENSG00000168671;UGT3A2;UDP glycosyltransferase family 3 member A2;ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE