"";"variance"
"XIST";"11.58"
"DGAT2L6";" 7.20"
"PM20D1";" 6.70"
"AADACL3";" 6.09"
"KRT25";" 5.95"
"THRSP";" 5.93"
"UTY";" 5.56"
"KRTAP4-12";" 5.42"
"AWAT2";" 5.32"
"KRTAP4-8";" 5.29"
"MMP1";" 5.06"
"HLA-DRB5";" 4.91"
"DEFB4A";" 4.90"
"SEC14L6";" 4.67"
"IGHJ6";" 4.62"
"AWAT1";" 4.43"
"KRT6C";" 4.18"
"KRTAP1-5";" 4.16"
"FABP9";" 3.87"
"RPS4Y1";" 3.84"
"KRT71";" 3.81"
"IGHJ3";" 3.62"
"KRTAP4-5";" 3.53"
"TTTY15";" 3.53"
"IGHG4";" 3.49"
"GAL";" 3.22"
"TCHH";" 3.19"
"S100A7A";" 3.18"
"IGHV3-33";" 3.16"
"KDM5D";" 3.06"
"USP9Y";" 3.04"
"PRKY";" 2.96"
"PIP";" 2.93"
"KRTAP1-1";" 2.92"
"LTF";" 2.91"
"IGLC2";" 2.89"
"IGHG2";" 2.86"
"KRTAP5-8";" 2.84"
"CXCL10";" 2.84"
"UPK1A";" 2.83"
"TCN1";" 2.81"
"KRTAP2-2";" 2.67"
"KRTAP5-2";" 2.66"
"ACOT1";" 2.63"
"S100A12";" 2.62"
"PI3";" 2.62"
"MIR2117";" 2.60"
"CXCL9";" 2.54"
"KRTAP4-2";" 2.53"
"IL36A";" 2.51"
"KRT79";" 2.51"
"KRT86";" 2.51"
"KRTAP9-4";" 2.43"
"RNU5A-8P";" 2.41"
"SLCO4C1";" 2.36"
"KRTAP16-1";" 2.36"
"IGHV3-30";" 2.36"
"PRG4";" 2.36"
"KRTAP9-8";" 2.33"
"IGHV3-15";" 2.33"
"PNLDC1";" 2.27"
"MMP12";" 2.25"
"EPGN";" 2.19"
"SPRR2B";" 2.18"
"SPRR4";" 2.14"
"KRTAP5-3";" 2.13"
"KRTAP11-1";" 2.12"
"LCE3A";" 2.11"
"IGLC7";" 2.11"
"MMP3";" 2.10"
"IGKV1-17";" 2.10"
"KRT27";" 2.09"
"KRTAP2-4";" 2.08"
"RP11-789C1.1";" 2.07"
"ALOX15B";" 2.06"
"IGKV2D-24";" 2.04"
"IGKV1-6";" 2.04"
"ADIPOQ";" 2.00"
"KRTAP5-4";" 1.99"
"GLDC";" 1.93"
"IGFL1";" 1.92"
"FAR2";" 1.91"
"KRT6A";" 1.87"
"TMPRSS11E";" 1.87"
"GSTT2";" 1.86"
"FA2H";" 1.85"
"SLC44A5";" 1.84"
"KRTAP4-3";" 1.83"
"IGLV1-40";" 1.83"
"HORMAD1";" 1.80"
"SCGB1D2";" 1.79"
"KRTAP4-7";" 1.77"
"OLFM4";" 1.77"
"KRTAP1-3";" 1.74"
"COMP";" 1.72"
"KRTAP4-4";" 1.71"
"RP11-26L20.3";" 1.71"
"HEPHL1";" 1.70"
"LGALS7";" 1.69"
"KRTAP3-1";" 1.68"
"KRT33A";" 1.66"
"RP11-508M8.1";" 1.65"
"DCD";" 1.65"
"KRTAP9-7";" 1.64"
"IGLV3-1";" 1.62"
"CLC";" 1.61"
"UGT3A2";" 1.60"
"APOC1";" 1.60"
"RP11-257I8.2";" 1.58"
"IGHJ2";" 1.58"
"IGJ";" 1.58"
"UPK1A-AS1";" 1.58"
"IGKV1-5";" 1.57"
"FOSL1";" 1.57"
"PNPLA5";" 1.56"
"DDX3Y";" 1.53"
"HRNR";" 1.52"
"KRTAP2-3";" 1.52"
"IGHA1";" 1.50"
"KRT16";" 1.48"
"PI15";" 1.48"
"TNFAIP6";" 1.47"
"IGKV1-16";" 1.45"
"IGHV4-31";" 1.45"
"IGLV2-18";" 1.42"
"DEFB4B";" 1.41"
"IGKV3-20";" 1.40"
"KRTAP4-11";" 1.39"
"TMEM56";" 1.39"
"KRT82";" 1.39"
"LCE3C";" 1.38"
"IGHV4-28";" 1.38"
"S100A9";" 1.38"
"UBD";" 1.36"
"IGKV3-11";" 1.36"
"HSD11B1";" 1.34"
"FOSB";" 1.34"
"TMPRSS11D";" 1.34"
"KRTAP17-1";" 1.33"
"ADAMDEC1";" 1.33"
"IGHA2";" 1.33"
"RP11-459E5.1";" 1.32"
"SELE";" 1.30"
"IGHG3";" 1.30"
"IGHM";" 1.29"
"PRR9";" 1.29"
"CILP";" 1.28"
"IL37";" 1.27"
"PDE6A";" 1.27"
"PLA2G2A";" 1.27"
"AKR1B10";" 1.27"
"IGHV1-18";" 1.27"
"RHCG";" 1.25"
"CCL1";" 1.25"
"IGHV1-2";" 1.25"
"PLIN1";" 1.25"
"PLIN4";" 1.25"
"LCE3E";" 1.24"
"IGHV5-51";" 1.24"
"KRTAP24-1";" 1.24"
"CRAT";" 1.24"
"HSD17B13";" 1.24"
"ACSBG1";" 1.24"
"IL8";" 1.20"
"GDA";" 1.20"
"NLGN4Y";" 1.20"
"IGKV1D-12";" 1.19"
"SCGB2A2";" 1.19"
"COL6A6";" 1.17"
"KLK6";" 1.16"
"DSG4";" 1.15"
"KRT31";" 1.14"
"IGFL4";" 1.14"
"C10orf129";" 1.14"
"TPSB2";" 1.14"
"KRT35";" 1.13"
"AQP5";" 1.13"
"MT1A";" 1.12"
"FABP4";" 1.12"
"KRT6B";" 1.12"
"RP11-366M4.3";" 1.12"
"CXCL11";" 1.11"
"HSD3B1";" 1.11"
"SOAT1";" 1.10"
"IGHV3-23";" 1.10"
"GPRC5D";" 1.10"
"RP11-632K20.2";" 1.10"
"RNU5F-1";" 1.10"
"ATP12A";" 1.09"
"CCL18";" 1.09"
"HAO2";" 1.08"
"AQP9";" 1.07"
"GPD1";" 1.07"
"RARRES1";" 1.07"
"RP11-350F16.1";" 1.07"
"FOS";" 1.07"
"TTTY14";" 1.07"
"LIPG";" 1.06"
"HIST1H2AB";" 1.06"
"MC5R";" 1.05"
"IFI44L";" 1.05"
"RP11-98L5.5";" 1.05"
"RP11-356I2.2";" 1.05"
"KRTAP2-1";" 1.04"
"ALOX15";" 1.03"
"TRAJ31";" 1.02"
"CD177";" 1.02"
"CA6";" 1.01"
"FADS1";" 1.00"
"IGKV1-12";" 1.00"
"CYP4F8";" 0.99"
"SGK2";" 0.99"
"IGHV4-34";" 0.98"
"SLC27A2";" 0.98"
"AC103563.2";" 0.98"
"ACSM3";" 0.98"
"CRISP3";" 0.98"
"IL1A";" 0.98"
"KRT72";" 0.97"
"SERPINB4";" 0.96"
"CCL22";" 0.95"
"RP11-517O13.1";" 0.95"
"EIF1AY";" 0.95"
"RP11-958N24.2";" 0.94"
"KRTAP19-5";" 0.94"
"IGKV3-15";" 0.94"
"CD1B";" 0.93"
"MOGAT2";" 0.93"
"GLYATL2";" 0.93"
"RP11-84E24.2";" 0.93"
"IGHV4-4";" 0.93"
"SLC6A14";" 0.92"
"COL6A5";" 0.92"
"SLC14A1";" 0.91"
"C10orf99";" 0.91"
"IGHV3-7";" 0.91"
"CHI3L2";" 0.90"
"METTL7B";" 0.90"
"PDZK1";" 0.90"
"TRAJ35";" 0.90"
"MIR31HG";" 0.89"
"FADS2";" 0.89"
"IGKV4-1";" 0.89"
"PRAMEF3";" 0.88"
"PTX3";" 0.88"
"SCGB2A1";" 0.88"
"J01415.21";" 0.88"
"RP11-350J20.5";" 0.88"
"KRT83";" 0.87"
"HMGCS2";" 0.87"
"FNDC1";" 0.87"
"MEGT1";" 0.87"
"AC022596.6";" 0.87"
"CLDN10-AS1";" 0.87"
"CLDN10";" 0.86"
"RBP4";" 0.86"
"UCA1";" 0.86"
"G0S2";" 0.86"
"OGN";" 0.86"
"LINC00278";" 0.85"
"CIDEA";" 0.85"
"STC1";" 0.85"
"HSD17B2";" 0.85"
"CIDEC";" 0.84"
"ERAP2";" 0.84"
"AC053503.6";" 0.84"
"NELL2";" 0.84"
"PNLIPRP3";" 0.84"
"IL19";" 0.83"
"FABP7";" 0.83"
"TF";" 0.83"
"CTD-3092A11.1";" 0.83"
"RP11-989E6.3";" 0.83"
"GJB4";" 0.83"
"IGHV3-66";" 0.82"
"ZBTB16";" 0.82"
"AC068587.2";" 0.82"
"IL24";" 0.81"
"SPRR1B";" 0.81"
"TRAJ22";" 0.81"
"MUC1";" 0.81"
"SERPINE1";" 0.80"
"TRBV5-6";" 0.80"
"KRTAP3-3";" 0.80"
"CCDC144B";" 0.80"
"HBEGF";" 0.80"
"IGHV3-73";" 0.79"
"TMPRSS4";" 0.79"
"ADH1B";" 0.79"
"RAB3B";" 0.79"
"IGKV1D-16";" 0.79"
"ELF5";" 0.78"
"IL13RA2";" 0.78"
"KRTAP19-3";" 0.77"
"PNPLA3";" 0.77"
"TIMP4";" 0.77"
"LGR5";" 0.77"
"RP11-660L16.2";" 0.77"
"RP11-15J10.1";" 0.77"
"RP11-524H19.2";" 0.76"
"IL22";" 0.76"
"SAA1";" 0.76"
"GALNTL2";" 0.76"
"CYP2B7P1";" 0.76"
"RP11-20D14.6";" 0.76"
"WIF1";" 0.76"
"SLC5A5";" 0.76"
"FGFBP1";" 0.75"
"TECRL";" 0.75"
"LOR";" 0.75"
"KRT77";" 0.75"
"ABHD12B";" 0.75"
"KRT73";" 0.74"
"SLC26A9";" 0.74"
"GTF2H2";" 0.74"
"TRAJ38";" 0.74"
"IFI44";" 0.74"
"SLC46A2";" 0.74"
"CH25H";" 0.74"
"CLEC4G";" 0.73"
"LCN1P1";" 0.73"
"IL36G";" 0.73"
"RP11-413E6.8";" 0.73"
"AL353791.1";" 0.73"
"RP5-1132H15.3";" 0.73"
"TRAJ23";" 0.73"
"IGHV1-24";" 0.73"
"CST6";" 0.73"
"AC005152.3";" 0.72"
"PTGS2";" 0.72"
"ZFY";" 0.72"
"ROS1";" 0.72"
"FLG2";" 0.72"
"LEP";" 0.72"
"IFI6";" 0.72"
"GREM1";" 0.72"
"KRT75";" 0.71"
"PLA2G7";" 0.71"
"LINC00342";" 0.71"
"ABC7-42389800N19.1";" 0.71"
"DES";" 0.71"
"TNFRSF12A";" 0.71"
"OAS2";" 0.71"
"FDCSP";" 0.71"
"KLRK1";" 0.70"
"HS3ST6";" 0.70"
"KRT34";" 0.70"
"IGKV3D-11";" 0.70"
"AKR1B15";" 0.70"
"PCSK1";" 0.69"
"GPR174";" 0.69"
"MIR21";" 0.69"
"CD163";" 0.69"
"FASN";" 0.69"
"RP11-195E2.4";" 0.69"
"SULT1E1";" 0.69"
"LILRA5";" 0.69"
"SLAMF6";" 0.69"
"AC092635.1";" 0.69"
"RNASE2";" 0.68"
"LPHN3";" 0.68"
"AC016683.6";" 0.68"
"PDK4";" 0.68"
"MUC7";" 0.68"
"DKK1";" 0.68"
"RP11-757O6.1";" 0.67"
"RP11-255H23.2";" 0.67"
"TREM1";" 0.67"
"CHP2";" 0.67"
"VSIG4";" 0.67"
"IGLV3-25";" 0.67"
"PLA2G4D";" 0.67"
"CCL2";" 0.67"
"CPXM1";" 0.67"
"HIST1H2AK";" 0.67"
"RP11-371I1.2";" 0.67"
"PRSS27";" 0.67"
"TRAV8-3";" 0.66"
"MX1";" 0.66"
"PPP1R1A";" 0.66"
"PLAT";" 0.66"
"LRG1";" 0.66"
"KIAA1199";" 0.66"
"D87024.1";" 0.66"
"TNC";" 0.65"
"SOCS3";" 0.65"
"TRAJ16";" 0.65"
"HERC6";" 0.65"
"TRAJ39";" 0.64"
"SLC34A2";" 0.64"
"KRT16P2";" 0.64"
"LRRC26";" 0.64"
"KRT74";" 0.64"
"SPRR1A";" 0.64"
"CD207";" 0.64"
"RNA5SP150";" 0.64"
"BEST2";" 0.64"
"TRBV28";" 0.64"
"IL7R";" 0.64"
"NNAT";" 0.63"
"TRAV13-2";" 0.63"
"INSIG1";" 0.63"
"PECR";" 0.63"
"AC083899.3";" 0.63"
"RP11-170L3.7";" 0.63"
"FAM26E";" 0.63"
"CHI3L1";" 0.63"
"CHAC1";" 0.62"
"KRT85";" 0.62"
"KRTAP8-1";" 0.62"
"CCL19";" 0.62"
"TRGV3";" 0.62"
"LINC00622";" 0.62"
"TRAJ33";" 0.62"
"PRSS53";" 0.62"
"CYP27B1";" 0.62"
"RHPN2";" 0.62"
"CD209";" 0.62"
"TRAJ52";" 0.62"
"CTA-398F10.2";" 0.62"
"C1QTNF3";" 0.62"
"IGHV3-64";" 0.61"
"MOGAT1";" 0.61"
"CD1E";" 0.61"
"AL591845.1";" 0.61"
"AQP7";" 0.61"
"HAS3";" 0.61"
"MGST1";" 0.61"
"GPAM";" 0.61"
"MIR24-2";" 0.61"
"ADAMTS4";" 0.60"
"KIAA1324";" 0.60"
"WFDC12";" 0.60"
"IGKV1-27";" 0.60"
"HTR3A";" 0.60"
"KRTAP10-4";" 0.60"
"SELL";" 0.60"
"AADAC";" 0.60"
"TMEM63C";" 0.60"
"PPBP";" 0.60"
"APOB";" 0.60"
"AC006372.5";" 0.59"
"BTC";" 0.59"
"NAIP";" 0.59"
"KRTAP5-1";" 0.59"
"PI16";" 0.59"
"TRAJ34";" 0.59"
"RP11-1038A11.3";" 0.59"
"ACOT2";" 0.59"
"J01415.15";" 0.59"
"RP11-34P13.12";" 0.58"
"RP11-392O17.1";" 0.58"
"MT1M";" 0.58"
"NPTX1";" 0.58"
"AC003090.1";" 0.58"
"ICOS";" 0.58"
"OMD";" 0.58"
"RIMBP3B";" 0.58"
"ODC1";" 0.58"
"CYP4F2";" 0.58"
"RP11-485M7.3";" 0.58"
"GSTA3";" 0.57"
"DNER";" 0.57"
"RP11-464C19.3";" 0.57"
"FIGF";" 0.57"
"RGS1";" 0.57"
"FAM66A";" 0.57"
"MEDAG";" 0.57"
"ANKRD20A5P";" 0.57"
"RSAD2";" 0.57"
"CORIN";" 0.56"
"RP11-467L19.2";" 0.56"
"MIR27A";" 0.56"
"SNX29P1";" 0.56"
"TRDC";" 0.56"
"IGHV1-8";" 0.56"
"ANGPTL1";" 0.56"
"HTRA3";" 0.56"
"FGF7";" 0.56"
"KRT39";" 0.56"
"IGKV6-21";" 0.56"
"TGM6";" 0.56"
"C7";" 0.56"
"CD79A";" 0.55"
"IGLV3-19";" 0.55"
"DLGAP5";" 0.55"
"CLEC3A";" 0.55"
"MUCL1";" 0.55"
"CLDN8";" 0.55"
